Los fundadores de Valentia fueron...;criminales romanos desterrados;legionarios romanos que lucharon contra Viriato;ciudadanos romanos en busca de fortuna;senadores retirados;B;1 Valencia Romana;4 Complicada
El Palau se amplió en el siglo XVI con una gran torre. ¿ Quién la realizó?;Corbera;Lanuza;Montano;Pere Compte;C;3 Valencia Moderna;4 Complicada
¿qué consecuencias puede tener para la salud vivir bajo una antena de telefonía móvil?;todas son ciertas;No produce ningún riesgo;Esta emisión de radiación puede producir cambios eléctricos en la membrana de todas las células del cuerpo, alterando los flujos celulares de algunos iones, sobre todo el calcio, lo que podría tener efectos biológicos importantes. ;Es un riesgo para los animales;C;6 Red de telefonía en Valencia;3 Normal
¿Qué es un GPS?;Un sistema de videoconferencia;Una ley que regula la telefonía móvil;Un sistema de posicionamiento digital;Un sistema de manos libres;C;6 Red de telefonía en Valencia;3 Normal
¿Cómo funciona el WI-FI ?;con cable;con boostmeister;con tecnología inalámbrica;todas son falsas ;C;6 Red de telefonía en Valencia;3 Normal
"¿A qué se refiere el eslogan ""No pasarán""?";Eslogan de nacionalistas referido a los republicanos;Eslogan de los republicanos referido a los nacionalistas;Ninguna de las dos;Eslogan solo de los republicanos;B;5 Valencia desde la guerra civil hasta el presente;4 Complicada
¿ Para qué se usa hoy en día el Palau de la Generalitat?;para hacer exposiciones;es la sede del Gobierno;es un museo de instrumentos musicales;es una casa donde viven ricos;B;3 Valencia Moderna;1 Muy fácil
¿Cuántos días resistió la República después de la caída de Madrid?;3;6;2;8;A;5 Valencia desde la guerra civil hasta el presente;2 Fácil
Valentia es destruida y abandonada en el 75 ac por....;una inundación;la invasión de los bárbaros;su lucha contra los cartagineses;tomar parte por el bando perdedor en la guerra civil;D;1 Valencia Romana;3 Normal
Nombra la capital de la república en Noviembre 1936;Madrid;Barcelona;Valencia;Toledo;C;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Quién dirigía las tropas nacionales?;Hitler ;Stalin;Franco;Lenin;C;5 Valencia desde la guerra civil hasta el presente;1 Muy fácil
Una característica de la Tecnología digital es: ;Mayor claridad y más funciones en la telefonía;Coste reducido;Es mas antigua;Todas son correctas;A;6 Red de telefonía en Valencia;4 Complicada
Que representa la canción nacionalista principalmente?;La violencia en la batalla;Los resultados conseguidos en batalla;El dolor hacia los caidos en la guerra;Respeto ante toda la sociedad;B;5 Valencia desde la guerra civil hasta el presente;3 Normal
¿Para qué se utiliza \'Ctrl + C\'?;Pegar;Cortar;Seleccionar;Copiar;D;6 Red de telefonía en Valencia;1 Muy fácil
La refundación de Valentia tiene lugar en la época;Republicana;Monárquica;Imperial;en ninguna de las anteriores;C;1 Valencia Romana;3 Normal
El edificio de telefónica de valencia se situa en...;En el puerto;En la ciudad de las artes y las ciencias;En la plaza del ayuntamiento;En dust-ll;C;6 Red de telefonía en Valencia;4 Complicada
¿Cómo se denomina el ordenador donde se almacenan las páginas web?;Ordenador portátil;Servidor;Smartphone;Administrador;B;6 Red de telefonía en Valencia;3 Normal
¿ Qué  concepto se puede utilizar en las nuevas tecnologías??;nunca cambia;concepto de “generación”, de forma que cada generación engloba un conjunto de estándares de transmisión de datos (y de voz) que ofrecen unas determinadas prestaciones y calidad de servicio. ;tecnología analógica en todas las tecnologías;todas son correctas;B;6 Red de telefonía en Valencia;4 Complicada
¿Cuantos soldados aportó Mussolini a Franco?;10.000 soldados;90.000 soldados;30.000 soldados;50.000 soldados;D;5 Valencia desde la guerra civil hasta el presente;4 Complicada
